Loading acuteinflammation 6 2 70 23
Loading acutenephritis 6 2 70 23
Loading balancescale 4 3 373 124
Loading blood 4 2 447 149
Loading breastcancer 9 2 170 56
Loading breastcancerwisc 9 2 418 139
Loading breasttissue 9 6 62 20
Loading ecoli 7 8 200 66
Loading energyy1 8 3 459 153
Loading energyy2 8 3 459 153
Loading fertility 9 2 58 19
Loading glass 9 6 127 42
Loading habermansurvival 3 2 182 60
Loading hayesroth 3 3 93 31
Loading ilpdindianliver 9 2 348 116
Loading iris 4 3 88 29
Loading mammographic 5 2 575 191
Loading monks1 6 2 331 110
Loading monks2 6 2 358 119
Loading monks3 6 2 330 110
Loading pima 8 2 459 153
Loading pittsburgbridgesMATERIAL 7 3 62 20
Loading pittsburgbridgesRELL 7 3 60 20
Loading pittsburgbridgesSPAN 7 3 54 18
Loading pittsburgbridgesTORD 7 2 60 20
Loading pittsburgbridgesTYPE 7 6 61 20
Loading postoperative 8 3 52 17
Loading seeds 7 3 124 41
Loading teaching 5 3 89 29
Loading tictactoe 9 2 573 191
Loading vertebralcolumn2clases 6 2 184 61
Loading vertebralcolumn3clases 6 3 184 61
Finish data loading.
Training with penalty:0.0001 seed:1.
The ID for this training is 1658711725.
| epoch:    0 | TA: 64.73 | TL: 7.013e-01 | VA: 45.84 | VL: 7.165e-01 | Norm: 3.88e-03 | time: 1.49e-01 |
| epoch:  100 | TA: 100.24 | TL: 3.587e-01 | VA: 97.39 | VL: 3.794e-01 | Norm: 1.06e-01 | time: 1.45e+01 |
| epoch:  200 | TA: 100.60 | TL: 3.472e-01 | VA: 98.44 | VL: 3.731e-01 | Norm: 1.28e-01 | time: 1.44e+01 |
| epoch:  300 | TA: 102.28 | TL: 3.382e-01 | VA: 98.06 | VL: 3.695e-01 | Norm: 1.35e-01 | time: 1.44e+01 |
| epoch:  400 | TA: 100.56 | TL: 3.405e-01 | VA: 97.13 | VL: 3.751e-01 | Norm: 1.38e-01 | time: 1.44e+01 |
| epoch:  500 | TA: 102.28 | TL: 3.383e-01 | VA: 96.70 | VL: 3.749e-01 | Norm: 1.46e-01 | time: 1.43e+01 |
| epoch:  600 | TA: 101.28 | TL: 3.389e-01 | VA: 98.36 | VL: 3.763e-01 | Norm: 1.48e-01 | time: 1.43e+01 |
| epoch:  700 | TA: 100.73 | TL: 3.348e-01 | VA: 96.75 | VL: 3.703e-01 | Norm: 1.52e-01 | time: 1.43e+01 |
| epoch:  800 | TA: 102.35 | TL: 3.335e-01 | VA: 96.95 | VL: 3.693e-01 | Norm: 1.53e-01 | time: 1.43e+01 |
| epoch:  900 | TA: 101.64 | TL: 3.324e-01 | VA: 96.27 | VL: 3.689e-01 | Norm: 1.54e-01 | time: 1.43e+01 |
| epoch: 1000 | TA: 101.36 | TL: 3.317e-01 | VA: 97.76 | VL: 3.682e-01 | Norm: 1.54e-01 | time: 1.44e+01 |
| epoch: 1100 | TA: 99.72 | TL: 3.305e-01 | VA: 98.03 | VL: 3.680e-01 | Norm: 1.55e-01 | time: 1.43e+01 |
| epoch: 1200 | TA: 101.72 | TL: 3.302e-01 | VA: 96.84 | VL: 3.680e-01 | Norm: 1.55e-01 | time: 1.43e+01 |
| epoch: 1300 | TA: 100.78 | TL: 3.296e-01 | VA: 99.35 | VL: 3.675e-01 | Norm: 1.56e-01 | time: 1.43e+01 |
| epoch: 1400 | TA: 99.49 | TL: 3.293e-01 | VA: 95.16 | VL: 3.674e-01 | Norm: 1.56e-01 | time: 1.44e+01 |
| epoch: 1500 | TA: 102.49 | TL: 3.284e-01 | VA: 96.53 | VL: 3.668e-01 | Norm: 1.56e-01 | time: 1.44e+01 |
| epoch: 1600 | TA: 101.22 | TL: 3.283e-01 | VA: 96.53 | VL: 3.672e-01 | Norm: 1.57e-01 | time: 1.44e+01 |
| epoch: 1700 | TA: 101.87 | TL: 3.281e-01 | VA: 98.55 | VL: 3.663e-01 | Norm: 1.57e-01 | time: 1.44e+01 |
| epoch: 1800 | TA: 101.25 | TL: 3.276e-01 | VA: 96.91 | VL: 3.665e-01 | Norm: 1.57e-01 | time: 1.44e+01 |
| epoch: 1900 | TA: 100.66 | TL: 3.272e-01 | VA: 98.22 | VL: 3.660e-01 | Norm: 1.58e-01 | time: 1.44e+01 |
| epoch: 2000 | TA: 100.75 | TL: 3.269e-01 | VA: 96.22 | VL: 3.659e-01 | Norm: 1.58e-01 | time: 1.45e+01 |
| epoch: 2100 | TA: 102.26 | TL: 3.269e-01 | VA: 95.83 | VL: 3.665e-01 | Norm: 1.58e-01 | time: 1.44e+01 |
| epoch: 2200 | TA: 100.98 | TL: 3.264e-01 | VA: 98.62 | VL: 3.668e-01 | Norm: 1.58e-01 | time: 1.44e+01 |
| epoch: 2300 | TA: 101.28 | TL: 3.259e-01 | VA: 95.56 | VL: 3.661e-01 | Norm: 1.57e-01 | time: 1.45e+01 |
| epoch: 2400 | TA: 101.63 | TL: 3.258e-01 | VA: 100.17 | VL: 3.652e-01 | Norm: 1.57e-01 | time: 1.45e+01 |
| epoch: 2500 | TA: 102.15 | TL: 3.254e-01 | VA: 98.25 | VL: 3.654e-01 | Norm: 1.57e-01 | time: 1.45e+01 |
| epoch: 2600 | TA: 102.45 | TL: 3.257e-01 | VA: 98.05 | VL: 3.656e-01 | Norm: 1.57e-01 | time: 1.45e+01 |
| epoch: 2700 | TA: 101.98 | TL: 3.252e-01 | VA: 97.77 | VL: 3.655e-01 | Norm: 1.56e-01 | time: 1.45e+01 |
| epoch: 2800 | TA: 101.96 | TL: 3.246e-01 | VA: 98.00 | VL: 3.649e-01 | Norm: 1.56e-01 | time: 1.45e+01 |
| epoch: 2900 | TA: 100.87 | TL: 3.245e-01 | VA: 97.25 | VL: 3.656e-01 | Norm: 1.56e-01 | time: 1.45e+01 |
| epoch: 3000 | TA: 102.03 | TL: 3.243e-01 | VA: 97.65 | VL: 3.653e-01 | Norm: 1.55e-01 | time: 1.46e+01 |
| epoch: 3100 | TA: 101.63 | TL: 3.241e-01 | VA: 98.53 | VL: 3.651e-01 | Norm: 1.55e-01 | time: 1.45e+01 |
| epoch: 3200 | TA: 100.44 | TL: 3.234e-01 | VA: 96.55 | VL: 3.647e-01 | Norm: 1.54e-01 | time: 1.46e+01 |
| epoch: 3300 | TA: 101.65 | TL: 3.232e-01 | VA: 95.76 | VL: 3.644e-01 | Norm: 1.54e-01 | time: 1.46e+01 |
| epoch: 3400 | TA: 101.04 | TL: 3.238e-01 | VA: 96.71 | VL: 3.654e-01 | Norm: 1.53e-01 | time: 1.46e+01 |
| epoch: 3500 | TA: 102.20 | TL: 3.232e-01 | VA: 97.34 | VL: 3.657e-01 | Norm: 1.53e-01 | time: 1.46e+01 |
| epoch: 3600 | TA: 102.51 | TL: 3.229e-01 | VA: 98.68 | VL: 3.650e-01 | Norm: 1.52e-01 | time: 1.46e+01 |
| epoch: 3700 | TA: 102.91 | TL: 3.227e-01 | VA: 97.69 | VL: 3.645e-01 | Norm: 1.52e-01 | time: 1.45e+01 |
| epoch: 3800 | TA: 103.18 | TL: 3.225e-01 | VA: 97.78 | VL: 3.650e-01 | Norm: 1.51e-01 | time: 1.46e+01 |
| epoch: 3900 | TA: 103.45 | TL: 3.223e-01 | VA: 98.42 | VL: 3.655e-01 | Norm: 1.50e-01 | time: 1.46e+01 |
